timeOpen,timeClose,timeHigh,timeLow,open,high,low,close,volume,marketCap,timestamp
2025-08-12 00:00:00+00:00,2025-08-12 23:59:59.999000+00:00,2025-08-12 20:56:00+00:00,2025-08-12 10:15:00+00:00,118717.66,120302.47,118228.72,120172.91,72803657984.0,2391997268649.0,2025-08-12 23:59:59.999000+00:00
2025-08-11 00:00:00+00:00,2025-08-11 23:59:59.999000+00:00,2025-08-11 06:56:00+00:00,2025-08-11 21:54:00+00:00,119306.81,122321.1,118159.03,118731.45,90528784177.0,2363082431522.0,2025-08-11 23:59:59.999000+00:00
2025-08-10 00:00:00+00:00,2025-08-10 23:59:59.999000+00:00,2025-08-10 23:35:00+00:00,2025-08-10 00:02:00+00:00,116497.72,119320.71,116485.17,119306.76,64755458694.0,2374751720810.0,2025-08-10 23:59:59.999000+00:00
2025-08-09 00:00:00+00:00,2025-08-09 23:59:59.999000+00:00,2025-08-09 10:24:00+00:00,2025-08-09 03:09:00+00:00,116678.28,117906.61,116363.84,116500.36,54004312429.0,2318789772860.0,2025-08-09 23:59:59.999000+00:00
2025-08-08 00:00:00+00:00,2025-08-08 23:59:59.999000+00:00,2025-08-08 00:39:00+00:00,2025-08-08 15:47:00+00:00,117505.5,117689.2,115917.46,116688.73,59713005166.0,2322343980632.0,2025-08-08 23:59:59.999000+00:00
2025-08-07 00:00:00+00:00,2025-08-07 23:59:59.999000+00:00,2025-08-07 22:57:00+00:00,2025-08-07 04:57:00+00:00,115030.05,117676.91,114279.71,117496.9,64051649681.0,2338757036672.0,2025-08-07 23:59:59.999000+00:00
2025-08-06 00:00:00+00:00,2025-08-06 23:59:59.999000+00:00,2025-08-06 18:16:00+00:00,2025-08-06 04:39:00+00:00,114140.91,115737.83,113372.25,115028.0,56379133510.0,2289426220057.0,2025-08-06 23:59:59.999000+00:00
2025-08-05 00:00:00+00:00,2025-08-05 23:59:59.999000+00:00,2025-08-05 00:39:00+00:00,2025-08-05 14:47:00+00:00,115072.18,115117.44,112701.11,114141.44,61039182286.0,2271682684065.0,2025-08-05 23:59:59.999000+00:00
2025-08-04 00:00:00+00:00,2025-08-04 23:59:59.999000+00:00,2025-08-04 17:18:00+00:00,2025-08-04 00:15:00+00:00,114223.92,115729.47,114130.4,115071.88,35783028986.0,2290168688368.0,2025-08-04 23:59:59.999000+00:00
2025-08-03 00:00:00+00:00,2025-08-03 23:59:59.999000+00:00,2025-08-03 19:38:00+00:00,2025-08-03 00:39:00+00:00,112525.8,114747.42,111943.8,114217.67,48099615826.0,2273225581674.0,2025-08-03 23:59:59.999000+00:00
2025-08-02 00:00:00+00:00,2025-08-02 23:59:59.999000+00:00,2025-08-02 05:04:00+00:00,2025-08-02 19:15:00+00:00,113320.39,114021.61,112005.77,112526.91,56870866000.0,2239374886795.0,2025-08-02 23:59:59.999000+00:00
2025-08-01 00:00:00+00:00,2025-08-01 23:59:59.999000+00:00,2025-08-01 03:25:00+00:00,2025-08-01 22:52:00+00:00,115738.96,116060.77,112724.44,113320.09,91294530181.0,2255135680884.0,2025-08-01 23:59:59.999000+00:00
2025-07-31 00:00:00+00:00,2025-07-31 23:59:59.999000+00:00,2025-07-31 07:22:00+00:00,2025-07-31 23:42:00+00:00,117833.63,118919.98,115505.22,115758.2,69370346018.0,2303212731756.0,2025-07-31 23:59:59.999000+00:00
2025-07-30 00:00:00+00:00,2025-07-30 23:59:59.999000+00:00,2025-07-30 15:01:00+00:00,2025-07-30 19:07:00+00:00,117921.99,118780.73,115800.83,117831.19,68896148592.0,2344840211128.0,2025-07-30 23:59:59.999000+00:00
2025-07-29 00:00:00+00:00,2025-07-29 23:59:59.999000+00:00,2025-07-29 07:49:00+00:00,2025-07-29 16:39:00+00:00,117938.58,119273.87,116987.37,117922.15,68463107433.0,2346548863679.0,2025-07-29 23:59:59.999000+00:00
2025-07-28 00:00:00+00:00,2025-07-28 23:59:59.999000+00:00,2025-07-28 02:39:00+00:00,2025-07-28 18:36:00+00:00,119457.52,119819.79,117441.44,117924.47,64822943193.0,2346839250913.0,2025-07-28 23:59:59.999000+00:00
2025-07-27 00:00:00+00:00,2025-07-27 23:59:59.999000+00:00,2025-07-27 22:46:00+00:00,2025-07-27 00:13:00+00:00,117944.73,119815.6,117859.69,119448.49,54683390892.0,2377006745710.0,2025-07-27 23:59:59.999000+00:00
